iter	Passed	Remaining
596	4556	3075
597	4563	3067
598	4571	3060
599	4578	3052
600	4585	3044
601	4593	3036
602	4600	3029
603	4608	3021
604	4615	3013
605	4623	3005
606	4630	2997
607	4637	2990
608	4645	2982
609	4652	2974
610	4660	2966
611	4667	2959
612	4676	2952
613	4683	2944
614	4691	2936
615	4699	2929
616	4707	2922
617	4714	2914
618	4722	2906
619	4728	2898
620	4736	2890
621	4744	2883
622	4751	2875
623	4759	2867
624	4766	2859
625	4774	2852
626	4781	2844
627	4789	2837
628	4797	2829
629	4804	2821
630	4812	2814
631	4820	2806
632	4828	2799
633	4836	2791
634	4844	2784
635	4851	2776
636	4859	2769
637	4867	2761
638	4874	2754
639	4882	2746
640	4889	2738
641	4897	2730
642	4904	2723
643	4912	2715
644	4919	2707
645	4926	2699
646	4934	2692
647	4942	2684
648	4949	2676
649	4958	2669
650	4966	2662
651	4973	2654
652	4980	2646
653	4988	2639
654	4996	2631
655	5004	2624
656	5012	2616
657	5020	2609
658	5028	2601
659	5036	2594
660	5043	2586
661	5051	2579
662	5059	2571
663	5067	2564
664	5075	2556
665	5083	2549
666	5091	2541
667	5098	2534
668	5107	2527
669	5115	2519
670	5123	2512
671	5130	2504
672	5138	2496
673	5145	2488
674	5152	2480
675	5159	2472
676	5166	2465
677	5174	2457
678	5182	2449
679	5189	2442
680	5197	2434
681	5206	2427
682	5213	2419
683	5221	2412
684	5228	2404
685	5236	2397
686	5244	2389
687	5251	2381
688	5259	2373
689	5265	2365
690	5273	2358
691	5280	2350
692	5287	2342
693	5295	2335
694	5303	2327
695	5310	2319
696	5318	2311
697	5324	2303
698	5332	2296
699	5339	2288
700	5346	2280
701	5353	2272
702	5361	2265
703	5368	2257
704	5376	2249
705	5383	2241
706	5391	2234
707	5399	2226
708	5407	2219
709	5414	2211
710	5421	2203
711	5429	2196
712	5437	2188
713	5444	2180
714	5451	2173
715	5458	2164
716	5466	2157
717	5473	2149
718	5480	2141
719	5487	2134
720	5495	2126
721	5502	2118
722	5509	2111
723	5518	2103
724	5526	2096
725	5534	2088
726	5542	2081
727	5548	2073
728	5556	2065
729	5564	2058
730	5570	2049
731	5578	2042
732	5585	2034
733	5592	2026
734	5600	2019
735	5608	2011
736	5615	2003
737	5623	1996
738	5631	1988
739	5639	1981
740	5646	1973
741	5655	1966
742	5662	1958
743	5670	1950
744	5677	1943
745	5684	1935
746	5692	1928
747	5699	1920
748	5706	1912
749	5714	1904
750	5721	1897
751	5728	1889
752	5736	1881
753	5744	1874
754	5751	1866
755	5759	1858
756	5766	1850
757	5774	1843
758	5781	1835
759	5789	1828
760	5796	1820
761	5804	1812
762	5811	1805
763	5819	1797
764	5826	1789
765	5834	1782
766	5842	1774
767	5850	1767
768	5858	1759
769	5866	1752
770	5874	1744
771	5881	1737
772	5889	1729
773	5896	1721
774	5904	1714
775	5912	1706
776	5920	1699
777	5928	1691
778	5935	1683
779	5943	1676
780	5950	1668
781	5958	1661
782	5965	1653
783	5972	1645
784	5978	1637
785	5986	1629
786	5994	1622
787	6001	1614
788	6009	1607
789	6017	1599
790	6025	1591
791	6032	1584
792	6040	1576
793	6048	1569
794	6056	1561
795	6064	1554
796	6072	1546
797	6081	1539
798	6088	1531
799	6096	1524
800	6104	1516
801	6111	1508
802	6119	1501
803	6126	1493
804	6134	1486
805	6142	1478
806	6149	1470
807	6157	1463
808	6164	1455
809	6171	1447
810	6179	1440
811	6186	1432
812	6193	1424
813	6201	1417
814	6209	1409
815	6216	1401
816	6223	1394
817	6230	1386
818	6238	1378
819	6244	1370
820	6252	1363
821	6260	1355
822	6268	1348
823	6275	1340
824	6283	1332
825	6291	1325
826	6299	1317
827	6307	1310
828	6315	1302
829	6323	1295
830	6330	1287
831	6337	1279
832	6344	1272
833	6353	1264
834	6360	1256
835	6368	1249
836	6376	1241
837	6385	1234
838	6391	1226
839	6398	1218
840	6406	1211
841	6413	1203
842	6421	1195
843	6428	1188
844	6436	1180
845	6443	1173
846	6451	1165
847	6458	1157
848	6466	1150
849	6474	1142
850	6482	1134
851	6490	1127
852	6498	1119
853	6506	1112
854	6514	1104
855	6522	1097
856	6529	1089
857	6536	1081
858	6544	1074
859	6552	1066
860	6559	1058
861	6567	1051
862	6575	1043
863	6582	1036
864	6590	1028
865	6598	1021
866	6606	1013
867	6613	1005
868	6620	998
869	6628	990
870	6636	982
871	6643	975
872	6650	967
873	6657	959
874	6665	952
875	6673	944
876	6679	936
877	6687	929
878	6694	921
879	6702	913
880	6710	906
881	6717	898
882	6725	891
883	6733	883
884	6741	876
885	6749	868
886	6756	860
887	6763	853
888	6770	845
889	6777	837
890	6785	830
891	6792	822
892	6800	814
893	6807	807
894	6814	799
895	6822	791
896	6830	784
897	6837	776
898	6845	769
899	6852	761
900	6860	753
901	6868	746
902	6875	738
903	6882	730
904	6891	723
905	6899	715
906	6905	708
907	6913	700
908	6920	692
909	6927	685
910	6934	677
911	6941	669
912	6948	662
913	6955	654
914	6963	646
915	6970	639
916	6977	631
917	6984	623
918	6992	616
919	7001	608
920	7008	601
921	7016	593
922	7023	585
923	7032	578
924	7039	570
925	7047	563
926	7054	555
927	7062	547
928	7070	540
929	7077	532
930	7084	525
931	7092	517
932	7099	509
933	7107	502
934	7114	494
935	7122	486
936	7128	479
937	7136	471
938	7143	464
939	7151	456
940	7159	448
941	7166	441
942	7174	433
943	7182	426
944	7190	418
945	7198	410
946	7206	403
947	7214	395
948	7221	388
949	7230	380
950	7237	372
951	7246	365
952	7254	357
953	7262	350
954	7270	342
955	7278	335
956	7286	327
957	7294	319
958	7302	312
959	7309	304
960	7317	296
961	7324	289
962	7332	281
963	7340	274
964	7348	266
965	7356	258
966	7363	251
967	7370	243
968	7378	236
969	7386	228
970	7394	220
971	7401	213
972	7408	205
973	7416	197
974	7424	190
975	7432	182
976	7440	175
977	7448	167
978	7455	159
979	7463	152
980	7470	144
981	7478	137
982	7485	129
983	7492	121
984	7499	114
985	7507	106
986	7514	98
987	7522	91
988	7529	83
989	7537	76
990	7544	68
991	7552	60
992	7559	53
993	7565	45
994	7574	38
995	7581	30
996	7589	22
997	7597	15
998	7605	7
999	7612	0
