iter	Passed	Remaining
167	4276	21176
168	4304	21165
169	4328	21131
170	4351	21094
171	4374	21060
172	4396	21017
173	4422	20994
174	4447	20964
175	4472	20938
176	4500	20925
177	4523	20888
178	4547	20858
179	4572	20828
180	4596	20797
181	4619	20760
182	4643	20731
183	4667	20700
184	4693	20677
185	4718	20647
186	4743	20624
187	4767	20592
188	4789	20553
189	4812	20517
190	4836	20484
191	4861	20458
192	4887	20434
193	4910	20399
194	4934	20368
195	4961	20352
196	4988	20332
197	5013	20306
198	5035	20267
199	5060	20241
200	5086	20220
201	5114	20206
202	5138	20172
203	5161	20141
204	5183	20103
205	5207	20071
206	5230	20035
207	5252	19999
208	5275	19964
209	5302	19945
210	5326	19917
211	5350	19886
212	5372	19852
213	5391	19801
214	5418	19783
215	5444	19760
216	5469	19734
217	5494	19708
218	5518	19678
219	5542	19652
220	5571	19640
221	5598	19618
222	5621	19586
223	5647	19563
224	5671	19536
225	5694	19503
226	5718	19473
227	5743	19446
228	5768	19420
229	5793	19395
230	5819	19372
231	5849	19363
232	5871	19329
233	5896	19300
234	5920	19272
235	5947	19253
236	5972	19228
237	5998	19204
238	6022	19177
239	6047	19151
240	6073	19127
241	6099	19106
242	6126	19086
243	6150	19057
244	6175	19029
245	6197	18995
246	6219	18961
247	6244	18935
248	6267	18901
249	6288	18866
250	6314	18843
251	6338	18813
252	6359	18776
253	6382	18744
254	6405	18713
255	6429	18685
256	6452	18653
257	6476	18626
258	6499	18596
259	6525	18571
260	6548	18542
261	6571	18511
262	6595	18481
263	6621	18460
264	6646	18433
265	6668	18400
266	6690	18368
267	6714	18338
268	6738	18311
269	6765	18291
270	6788	18262
271	6815	18240
272	6840	18215
273	6863	18186
274	6888	18159
275	6911	18129
276	6935	18103
277	6959	18075
278	6987	18056
279	7010	18025
280	7032	17993
281	7055	17962
282	7079	17936
283	7102	17907
284	7126	17877
285	7149	17847
286	7174	17824
287	7198	17796
288	7222	17768
289	7244	17736
290	7273	17722
291	7297	17693
292	7321	17666
293	7344	17636
294	7369	17611
295	7393	17585
296	7417	17556
297	7442	17532
298	7466	17505
299	7491	17480
300	7516	17454
301	7544	17437
302	7569	17412
303	7594	17388
304	7618	17361
305	7647	17343
306	7675	17326
307	7700	17300
308	7725	17275
309	7747	17245
310	7774	17223
311	7797	17195
312	7825	17177
313	7850	17150
314	7878	17132
315	7902	17106
316	7927	17080
317	7951	17052
318	7976	17028
319	8000	17001
320	8024	16973
321	8049	16948
322	8072	16919
323	8095	16890
324	8119	16863
325	8145	16840
326	8171	16817
327	8196	16792
328	8218	16762
329	8244	16739
330	8273	16721
331	8298	16696
332	8325	16675
333	8349	16649
334	8374	16624
335	8399	16598
336	8422	16570
337	8451	16552
338	8476	16528
339	8503	16506
340	8528	16481
341	8553	16456
342	8577	16430
343	8604	16407
344	8629	16383
345	8653	16356
346	8677	16330
347	8704	16308
348	8728	16281
349	8751	16253
350	8774	16224
351	8801	16203
352	8825	16175
353	8851	16152
354	8875	16125
355	8903	16105
356	8927	16079
357	8956	16061
358	8980	16035
359	9006	16011
360	9032	15988
361	9058	15965
362	9083	15939
363	9105	15909
364	9129	15883
365	9155	15859
366	9180	15834
367	9208	15814
368	9236	15794
369	9263	15772
370	9286	15745
371	9310	15717
372	9333	15688
373	9360	15667
374	9383	15638
375	9408	15613
376	9432	15587
377	9457	15561
378	9483	15538
379	9508	15514
380	9533	15489
381	9558	15464
382	9586	15443
383	9610	15416
384	9633	15388
385	9657	15362
386	9680	15334
387	9704	15306
388	9728	15280
389	9751	15251
390	9776	15227
391	9798	15197
392	9824	15174
393	9848	15146
394	9872	15121
395	9895	15092
396	9919	15066
397	9942	15038
398	9967	15013
399	9995	14992
400	10017	14963
401	10043	14939
402	10068	14915
